0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-80.94,10.06,1.19,-69,-79.56,54.75,2.25,663,645,672,612,653,546,1
-80.94,10.06,1.19,-69,-79.56,54.75,2.25,662,645,671,612,653,582,2
-80.94,10.06,1.19,-69,-79.56,54.81,2.25,663,645,671,612,653,603,3
-80.94,10.06,1.25,-69,-79.56,54.81,2.25,662,645,671,612,653,614,4
-80.94,10.06,1.25,-69,-79.56,54.81,2.25,663,645,671,612,653,622,5
-80.94,10.06,1.25,-69,-79.56,54.81,2.25,662,645,671,612,653,627,6
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,663,645,671,612,652,630,7
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,663,645,671,612,653,633,8
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,662,645,671,612,653,634,9
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,663,645,672,612,652,636,10
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,662,645,671,612,653,637,11
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,662,644,671,612,653,637,12
-80.94,10.06,1.31,-69,-79.56,54.81,2.25,663,645,672,612,653,638,13
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,645,671,611,653,638,14
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,644,671,611,653,638,15
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,645,672,612,652,638,16
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,645,671,612,653,639,17
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,645,671,612,652,639,18
-80.94,10.06,1.31,-69,-79.56,54.81,2.31,662,644,671,612,653,639,19
-80.94,10.06,1.31,-69,-79.56,54.81,2.37,662,645,671,611,653,640,20
-80.94,10.06,1.31,-69,-79.56,54.81,2.37,662,645,671,611,653,640,21
-80.94,10.06,1.31,-69,-79.56,54.81,2.44,662,644,671,611,653,640,22
-80.94,10.06,1.31,-69,-79.56,54.81,2.44,663,645,672,611,652,640,23
-80.94,10.06,1.38,-69,-79.5,54.81,2.44,662,644,671,611,652,640,24
-80.94,10.06,1.5,-69.06,-79.44,54.81,2.5,661,644,671,610,652,640,25
-80.94,10.06,1.81,-69.06,-79.44,54.81,2.44,661,645,671,611,652,640,26
-81,10.06,2.06,-69,-79.38,54.81,2.37,662,644,671,610,652,640,27
-81.06,10,2.31,-69,-79.38,55.06,2.25,662,645,671,610,652,640,28
-81.19,10,2.38,-68.94,-79.38,55.5,2.19,661,644,671,610,651,640,29
-81.37,10.06,2.25,-68.88,-79.31,55.87,2.19,661,644,671,610,651,639,30
-81.56,10.13,2,-68.88,-79.31,56.44,2.12,661,645,672,609,651,640,31
-81.69,10.19,1.75,-68.81,-79.25,57.12,2.12,661,644,671,609,651,639,32
-81.81,10.19,1.44,-68.81,-79.25,57.69,2.12,661,645,672,608,650,639,33
-81.94,10.19,1,-68.81,-79.19,58.12,2.12,660,644,671,608,650,639,34
-82,10.19,0.69,-68.81,-79.19,58.37,2.12,660,644,671,608,651,639,35
-82,10.19,0.38,-68.81,-79.19,58.56,2.12,660,644,671,608,650,639,36
-82,10.19,0,-68.81,-79.19,58.69,2.12,660,644,671,608,650,639,37
-81.87,10.13,-0.44,-68.81,-79.25,58.81,2.12,660,645,672,608,651,639,38
-81.75,10.06,-1,-68.81,-79.25,59.06,2.12,659,644,671,608,650,639,39
-81.56,10,-1.75,-68.81,-79.31,59.37,2.12,658,644,671,608,650,639,40
-81.31,9.94,-2.56,-68.88,-79.25,59.81,2.06,659,645,672,607,650,639,41
-81.06,9.94,-3.31,-68.88,-79.25,60.19,2,658,644,671,607,650,639,42
-80.94,10,-4.06,-68.81,-79.25,60.56,2,658,645,672,607,650,639,43
-80.87,10,-4.62,-68.81,-79.19,60.87,1.94,657,644,671,607,650,639,44
-80.87,10.06,-5.19,-68.81,-79.19,61.12,1.94,657,644,671,606,650,639,45
-80.81,10.06,-5.56,-68.81,-79.19,61.25,1.87,657,644,672,606,651,640,46
-80.81,10.06,-5.94,-68.81,-79.19,61.12,1.87,657,644,671,606,650,640,47
-80.81,10,-6.25,-68.81,-79.19,60.87,1.87,658,645,671,606,650,640,48
-80.75,10,-6.5,-68.81,-79.25,60.62,1.81,657,644,671,606,650,640,49
-80.69,10,-6.75,-68.81,-79.25,60.37,1.75,657,644,671,606,650,639,50
-80.62,10,-6.94,-68.81,-79.25,60.25,1.75,658,644,671,606,650,640,51
-80.56,10,-7.12,-68.81,-79.25,60.25,1.75,657,644,671,606,650,640,52
-80.44,10,-7.31,-68.81,-79.25,60.31,1.75,658,645,672,606,651,640,53
-80.37,9.94,-7.44,-68.81,-79.25,60.37,1.75,657,644,671,607,650,640,54
-80.31,9.94,-7.56,-68.81,-79.19,60.44,1.75,657,644,671,606,650,640,55
-80.25,9.88,-7.56,-68.81,-79.19,60.5,1.75,657,644,671,607,651,640,56
-80.25,9.88,-7.56,-68.88,-79.25,60.44,1.75,657,644,672,606,650,640,57
-80.25,9.81,-7.44,-68.88,-79.25,60.37,1.75,658,645,672,606,650,640,58
-80.19,9.75,-7.25,-68.88,-79.25,60.37,1.75,657,644,671,607,651,640,59
-80.19,9.75,-7.06,-68.88,-79.25,60.31,1.75,657,644,671,607,650,640,60
-80.19,9.69,-6.81,-68.94,-79.25,60.31,1.75,658,644,671,607,650,641,61
-80.19,9.63,-6.62,-68.94,-79.25,60.25,1.75,657,644,671,607,650,640,62
-80.12,9.63,-6.56,-68.94,-79.31,60.12,1.75,659,645,672,608,651,641,63
-80.06,9.63,-6.56,-68.94,-79.31,59.94,1.75,658,644,671,608,651,641,64
-80,8.63,-6.87,-68.94,-79.31,59.88,1.75,658,644,671,608,651,641,65
-80,8.94,-7.56,-68.94,-79.31,59.81,1.75,659,644,671,608,651,641,66
-80.06,10.06,-8.12,-69,-79.31,59.75,1.81,658,644,671,608,650,641,67
-80.06,10.31,-8.31,-69,-79.31,59.75,1.81,659,645,672,608,651,641,68
-80.12,10.06,-8.31,-69,-79.31,59.81,1.87,658,644,671,609,651,641,69
-80.12,9.63,-8,-69,-79.31,59.81,1.81,658,644,671,608,651,641,70
-80.12,9.44,-7.87,-69,-79.31,59.75,1.81,659,644,671,608,651,641,71
-80.12,9.44,-7.75,-69,-79.31,59.75,1.81,658,644,671,608,651,641,72
